2023-06-22 11:23:40 error: [GET] /api//notificationPreferenceusers/notificationPreference/get >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 11:23:40 error: [GET] /api//notificationPreferenceusers/notificationPrefeerence/get >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 11:23:40 error: [PUT] /api//notificationPreferenceusers/notificationPreference/update >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 11:23:41 error: [PUT] /api//notificationPreferenceusers/notificationPrefeerence/update >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 11:25:30 error: [GET] /api//notificationPreferenceusers/notificationPreference/get >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 11:25:30 error: [GET] /api//notificationPreferenceusers/notificationPrefeerence/get >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 11:25:30 error: [PUT] /api/users/notificationPreference/update >> StatusCode:: 401, Message:: Unauthorized
2023-06-22 11:25:30 error: [PUT] /api//notificationPreferenceusers/notificationPrefeerence/update >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 11:26:50 error: [GET] /api//notificationPreferenceusers/notificationPreference/get >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 11:26:50 error: [GET] /api//notificationPreferenceusers/notificationPrefeerence/get >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 11:26:50 error: [PUT] /api/users/notificationPreference/update >> StatusCode:: 401, Message:: Unauthorized
2023-06-22 11:26:50 error: [PUT] /api//notificationPreferenceusers/notificationPrefeerence/update >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 11:39:49 error: [GET] /api//notificationPreferenceusers/notificationPreference/get >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 11:39:49 error: [GET] /api//notificationPreferenceusers/notificationPrefeerence/get >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 11:39:49 error: [PUT] /api/users/notificationPreference/update >> StatusCode:: 401, Message:: Unauthorized
2023-06-22 11:39:49 error: [PUT] /api//notificationPreferenceusers/notificationPrefeerence/update >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:42:59 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:43:35 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:44:28 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:46:33 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:46:33 error: [GET] /api/users/employmentHistory/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:46:34 error: [GET] /api/ussser/employmentHistory/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:51:39 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:51:39 error: [GET] /api/users/employmentHistory/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:51:40 error: [GET] /api/ussser/employmentHistory/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:51:40 error: [GET] /api/users/employmentHistory/getAsllClients >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:51:40 error: [PUT] /api/users/employmentHistory/updateCliesnt/17 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:51:40 error: [POST] /api/users/employmentHistory/getClients >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:51:40 error: [POST] /api/users/employmentHistory/getClients >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:51:40 error: [POST] /api/users/employmentHistory/getSSClients >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:01 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:02 error: [GET] /api/users/employmentHistory/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:02 error: [GET] /api/ussser/employmentHistory/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:02 error: [GET] /api/users/employmentHistory/getAsllClients >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:03 error: [PUT] /api/users/employmentHistory/updateCliesnt/18 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:03 error: [POST] /api/users/employmentHistory/getClients >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:03 error: [POST] /api/users/employmentHistory/getClients >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:03 error: [POST] /api/users/employmentHistory/getSSClients >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:30 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:30 error: [GET] /api/users/employmentHistory/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:30 error: [GET] /api/ussser/employmentHistory/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:30 error: [GET] /api/users/employmentHistory/getAsllClients >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:52:31 error: [PUT] /api/users/employmentHistory/updateCliesnt/19 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:55:52 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:55:53 error: [GET] /api/users/employmentHistory/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:55:53 error: [GET] /api/ussser/employmentHistory/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:55:53 error: [GET] /api/users/employmentHistory/getAsllClients >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:55:53 error: [PUT] /api/users/employmentHistory/updateCliesnt/20 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:55:53 error: [DELETE] /api/users/employmentHistory/20 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:55:53 error: [DELETE] /api/users/employmentHistory/updateCliesnt/20 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:56:43 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:56:43 error: [GET] /api/users/employmentHistory/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:56:43 error: [GET] /api/ussser/employmentHistory/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:56:43 error: [GET] /api/users/employmentHistory/getAsllClients >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:56:44 error: [PUT] /api/users/employmentHistory/updateCliesnt/21 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:56:44 error: [DELETE] /api/users/employmentHistory/21 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:56:44 error: [DELETE] /api/users/employmentHistory/updateCliesnt/21 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:57:24 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:57:24 error: [GET] /api/users/employmentHistory/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:57:24 error: [GET] /api/ussser/employmentHistory/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:57:24 error: [GET] /api/users/employmentHistory/getAsllClients >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:57:25 error: [PUT] /api/users/employmentHistory/updateCliesnt/22 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:57:25 error: [DELETE] /api/users/employmentHistory/22 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:57:25 error: [DELETE] /api/users/employmentHistory/updateCliesnt/22 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:58:30 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
