2023-06-23 11:09:04 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:09:04 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:09:04 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:09:04 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:09:05 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:09:46 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:09:46 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:09:46 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:09:46 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:09:46 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:22:14 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:22:14 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:22:14 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:22:14 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:22:14 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:22:53 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:22:53 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:22:53 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:22:53 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
